Day,Site ,SiteDay,Hab1,Hab2,Hab3,Hab4,Hab5,Edge.Distance,Simpson,Shannon,Pielou,TASimpson,TAShannon,TAPielou,S,VP,VP2,TA,TA2,Snumint,Snumsec,Snumgen,Spctint,Spctsec,Spctgen,VPnumin,VPnumsec,VPnumgen,VPpctint,VPpctsec,VPpctgen,Intpctdiff,Secpctdiff,Genpctdiff,IQI,SQI,AEall,ACI300,ACIall,ADI4500,ADIall,BIrange,BImin,BIall,id,Cluster
C,06,06C,Interior,Varzea,Varzea,Other,Varzea,560,0.905094304,2.783755909,0.765275594,0.903840672,2.835540364,0.79754227,35,641,800,545,673,21,1,13,60,2.857142857,37.14285714,289,1,316,45.08580343,0.15600624,49.29797192,-14.91419657,-2.701136617,12.15511478,0.751430057,0.054602184,0.330633,17762.32167,17993.87333,1.314288,2.107874,2.658331,8.778751,4.962298,15,same
A,10,10A,Fringe,Fringe,Degraded,Other,Fringe,300,0.909783037,2.675785059,0.758795092,0.883526964,2.471154803,0.719616777,30,711,857,581,653,8,10,11,26.66666667,33.33333333,36.66666667,21,345,343,2.953586498,48.52320675,48.2419128,-23.71308017,15.18987342,11.57524613,0.110759494,1.455696203,0.13179,18332.60167,18505.84667,1.379598,2.271906,2.374977,8.023776,9.185032,16,same
B,10,10B,Fringe,Fringe,Degraded,Other,Fringe,300,0.928183762,2.851848359,0.822869497,0.899161054,2.632133645,0.781675795,28,794,1148,656,917,7,5,15,25,17.85714286,53.57142857,48,288,450,6.04534005,36.2720403,56.67506297,-18.95465995,18.41489745,3.103634401,0.241813602,2.031234257,0.149915,18394.95,18562.71833,1.375998,2.265413,1.767479,8.897154,8.25251,17,same
C,10,10C,Fringe,Fringe,Degraded,Other,Fringe ,300,0.855937387,2.289611957,0.720444674,0.87767837,2.32651827,0.764165257,21,434,667,284,461,6,3,10,28.57142857,14.28571429,47.61904762,8,92,313,1.843317972,21.19815668,72.11981567,-26.7281106,6.912442396,24.50076805,0.064516129,1.483870968,0.243666,17922.69167,18088.08667,1.346203,2.206063,1.964389,8.023776,6.75124,18,same
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
